Nom de produit;Marque;Prix;Prix avant remise;Taille;Pourcentage
Liquide vaisselle existe en plusieurs formules;LILAS;5.990;6.990;;
Nettoyant liquide de rincage ;FINISH;6.290;9.590;500ml;
Liquide vaisselle;PRIL;5.690;8.390;;
Nettoyant vaisselle;FINISH;26.590;41.990;;
Eponges abrasives;SIMBA;3.190;3.990;;
Eponges abrasives;SIMBA;3.590;4.790;;
Papier hygiÇnique;LILAS ULTRA DOUX;2.490;3.690;;
Essuie-tout;LILAS ULTRA DOUX;2.490;3.690;;
Essuie-tout blanc;LOTUS;6.290;9.950;;
Lessive poudre machine ;DIXAN;21.690;30.690;4 kg;
Lessive poudre machine;LILAS;23.990;30.990;;
Gel Machine ;LILAS;18.990;27.590;2,5L;
Lessive liquide;2,5 L;16.990;25.590;2,5 L;
Gel machine; DET;15.990;24.990;2,5 L;
Assouplissant; LILAS;12.690;18.090;3 L;
Eau de javel;LILAS;4.090;5.250;;
Nettoyant multi-usages ;JUDY;10.990;15.990;;
Nettoyant WC;GENERAL;4.290;5.490;50 gr;
DÇsodorisant existe en plusieurs senteurs;HAPPY FRESH;3.790;5.190; 300 ml;
Kit de coloration;PALETTE;10.990;6.990;;-36%
Kit de coloration;EXCELLENCE;26.990;39.290;;-31%
Rasoirs jetables;BIC;13.950;8.590;;-38%
Soft Vaseline ;NIHEL;2.690;3.590;100 ml;-25%
Lingettes bÇbÇ;SOFTY;5.490;;;
Lingettes bÇbÇ;LILAS;3.590;5.190;;
Protäge slip;NANA;2.650;3.750;;-29%
Serviettes fÇminines;NANA;2.490;3.390;;-27%
Serviettes hygiÇniques;LILAS;3.350;4.590;;-27%
Couches bÇbÇ;LILAS;15.590;17.890;;-15%
Couches-bÇbÇ confort jumbo;PEAUDOUCE;29.990;33.390;;-10%
Brosses Ö dents;SIGNAL;4.090;5.990;;-32%
Brosses Ö dents;COLGATE;6.490;8.890;;-27%
Dentifrice;SIGNAL;5.190;8.990;;-42%
Dentifrice;SIGNAL;3.550;5.190;;-32%
Dentifrice;SIGNAL;2.590;3.450;;-25%
Dentifrice;COLGATE;2.590;3.450;;-25%
Dentifrice Lilas EXTREME; Lilas EXTREME;2.690;3.390;;-21%
DÇodorant;DOVE;10.850;15.990;;-32%
DÇodorant;BALEA;10.690;7.550;;-29%
DÇodorant SOUPLESSE;SOUPLESSE;4.990;6.750;;-26%
DÇodorant;LEGEND;10.690;6.990;;-35%
Shampooing;ULTRA DOUX;14.490;9.890;300 ml;
Shampooing;Ultra DOUX;11.790;8.150;;-31%
Shampooing;BELLEZZA;;;BELLEZZA;
Shampooing;GLISS;14.790;9.390;400 ml;-37%
Shampooing;HEAD & SHOULDERS;5.450;8.290;200 ml;-34%
Shampooing;SUNSILK;4.800;5.890;400 ml;-19%
Gel douche ;C'FRESH;4.150;5.590;500 ml;
Gel douche;LILAS SUPREME;5.590;7.490;250 ml;-25%
Lilas SUPREME;GEL DOUCHE;;;;26%
Gel lavant mains; Lilas EXTREME;2.990;3.890;;-23%
Savon;DOVE;3.490;4.250;90 gr;-18%
Savon;LUX;1.750;2.150;;-19%
Brosse Ö dents;KOLL YOUM;1.290;;;
Sucre d'Çpilation;KOLL YOUM;2.890;; 200 gr;
Cräme dÇpilatoire ;KOLL YOUM;4.990;;100 gr;
GEL COIFFANT EFFET;KOLL YOUM;3.650;; 350 gr;
SAVON DE MêNAGE;KOLL YOUM ;3.950;;500 g;
Savon de mÇnage;KOLL YOUM;;;500 gr;
Vinaigre a mÇnage;KOLL YOUM;2.490;;1 L;
Savon de mÇnage;KOLL YOUM;7.590;;;
