web-scraper-order;web-scraper-start-url;name;price;formule
1736691582-1;https://www.touringtravel.tn/hotel/tn-hammamet/tous/2025-07-01;Green Golf;94.250 DT;Logement Simple
1736691582-2;https://www.touringtravel.tn/hotel/tn-hammamet/tous/2025-07-01;Hôtel Residence Hammamet;152.204 DT;Logement Petit Déjeuner
1736691582-3;https://www.touringtravel.tn/hotel/tn-hammamet/tous/2025-07-01;Le Khalife;160.230 DT;Logement Petit Déjeuner
1736691582-4;https://www.touringtravel.tn/hotel/tn-hammamet/tous/2025-07-01;Excel Yassmin Hammamet;164.808 DT;206.010 DT
1736691582-5;https://www.touringtravel.tn/hotel/tn-hammamet/tous/2025-07-01;La Playa Hôtel Club;205.990 DT;Logement Petit Déjeuner
1736691582-6;https://www.touringtravel.tn/hotel/tn-hammamet/tous/2025-07-01;El Fell;233.478 DT;Demi Pension
1736691582-7;https://www.touringtravel.tn/hotel/tn-hammamet/tous/2025-07-01;Residence Romane;244.923 DT;Logement Petit Déjeuner
1736691582-8;https://www.touringtravel.tn/hotel/tn-hammamet/tous/2025-07-01;Marina Palace;254.733 DT;Logement Petit Déjeuner
1736691582-9;https://www.touringtravel.tn/hotel/tn-hammamet/tous/2025-07-01;El Mouradi El Menzeh;271.844 DT;Soft All Inclusive
1736691582-10;https://www.touringtravel.tn/hotel/tn-hammamet/tous/2025-07-01;El Mouradi Hammamet;296.261 DT;Soft All Inclusive
1736691582-11;https://www.touringtravel.tn/hotel/tn-hammamet/tous/2025-07-01;Cooee President Beach & Spa;306.497 DT;Logement Petit Déjeuner
1736691582-12;https://www.touringtravel.tn/hotel/tn-hammamet/tous/2025-07-01;Mehari Hammamet Thalasso & Spa;317.943 DT;Logement Petit Déjeuner
1736691582-13;https://www.touringtravel.tn/hotel/tn-hammamet/tous/2025-07-01;Dar El Olf;343.350 DT;Logement Petit Déjeuner
1736691582-14;https://www.touringtravel.tn/hotel/tn-hammamet/tous/2025-07-01;Aziza Beach Golf & Spa;354.761 DT;Logement Petit Déjeuner
1736691582-15;https://www.touringtravel.tn/hotel/tn-hammamet/tous/2025-07-01;Blue Marine Hotel & Thalasso (Ex:Laico);420.413 DT;Logement Petit Déjeuner
1736691582-16;https://www.touringtravel.tn/hotel/tn-hammamet/tous/2025-07-01;Alhambra Thalasso;426.170 DT;Demi Pension
1736691582-17;https://www.touringtravel.tn/hotel/tn-hammamet/tous/2025-07-01;Hammamet Garden Resort & Spa;434.082 DT;Soft All Inclusive
1736691582-18;https://www.touringtravel.tn/hotel/tn-hammamet/tous/2025-07-01;Le Royal Hammamet;434.910 DT;Logement Petit Déjeuner
1736691582-19;https://www.touringtravel.tn/hotel/tn-hammamet/tous/2025-07-01;Bahia Beach;457.800 DT;Soft All Inclusive
1736691582-20;https://www.touringtravel.tn/hotel/tn-hammamet/tous/2025-07-01;WELCOME LELLA BAYA;469.245 DT;Logement Petit Déjeuner
1736691582-21;https://www.touringtravel.tn/hotel/tn-hammamet/tous/2025-07-01;The Russelior;474.831 DT;Logement Petit Déjeuner
1736691582-22;https://www.touringtravel.tn/hotel/tn-hammamet/tous/2025-07-01;Golden Tulip TAJ Sultan;482.652 DT;Logement Petit Déjeuner
1736691582-23;https://www.touringtravel.tn/hotel/tn-hammamet/tous/2025-07-01;Le Sultan;509.875 DT;Logement Petit Déjeuner
1736691582-24;https://www.touringtravel.tn/hotel/tn-hammamet/tous/2025-07-01;Eden Yasmine;519.145 DT;576.828 DT
1736691582-25;https://www.touringtravel.tn/hotel/tn-hammamet/tous/2025-07-01;Houda Yasmine;525.108 DT;Soft All Inclusive
1736691582-26;https://www.touringtravel.tn/hotel/tn-hammamet/tous/2025-07-01;Paradis Palace;533.286 DT;Soft All Inclusive
1736691582-27;https://www.touringtravel.tn/hotel/tn-hammamet/tous/2025-07-01;Omar Khayam;538.373 DT;Soft All Inclusive
1736691582-28;https://www.touringtravel.tn/hotel/tn-hammamet/tous/2025-07-01;Radisson Blu Resort & Thalasso Hammamet;594.702 DT;Logement Petit Déjeuner
1736691582-29;https://www.touringtravel.tn/hotel/tn-hammamet/tous/2025-07-01;Royal Nozha;606.585 DT;Soft All Inclusive
1736691582-30;https://www.touringtravel.tn/hotel/tn-hammamet/tous/2025-07-01;Nahrawess Hotel. Thalasso & WaterPark Resort;611.850 DT;679.833 DT
1736691582-31;https://www.touringtravel.tn/hotel/tn-hammamet/tous/2025-07-01;The Sindbad;640.859 DT;Logement Petit Déjeuner
1736691582-32;https://www.touringtravel.tn/hotel/tn-hammamet/tous/2025-07-01;Tui Blue Oceana  (Adult Only);664.153 DT;737.947 DT
1736691582-33;https://www.touringtravel.tn/hotel/tn-hammamet/tous/2025-07-01;Hasdrubal Thalassa & Spa Yasmine Hammamet;672.312 DT;Logement Petit Déjeuner
1736691582-34;https://www.touringtravel.tn/hotel/tn-hammamet/tous/2025-07-01;Vincci Nozha Beach;686.700 DT;Soft All Inclusive
1736691582-35;https://www.touringtravel.tn/hotel/tn-hammamet/tous/2025-07-01;Les Orangers Beach Resort;1 247.386 DT;All Inclusive
1736691582-36;https://www.touringtravel.tn/hotel/tn-hammamet/tous/2025-07-01;Lti Les Orangers Garden Villas & Bungalows;1 602.147 DT;All Inclusive
