web-scraper-order,web-scraper-start-url,name,price,nb_etoiles
"1736690474-1","https://www.traveltodo.com/","Le Sultan Hammamet","562.50  TND","Le Sultan Hammamet"
"1736690474-2","https://www.traveltodo.com/","Green Golf Hammamet","105.57  TND","Green Golf Hammamet"
"1736690474-3","https://www.traveltodo.com/","Hôtel Amber el fell","378.00  TND","Hôtel Amber el fell"
"1736690474-4","https://www.traveltodo.com/","Radisson Blu Resort & Thalasso Hammamet","612.00  TND","Radisson Blu Resort & Thalasso Hammamet"
"1736690474-5","https://www.traveltodo.com/","Golden Tulip  President Hammamet","313.95  TND","Golden Tulip  President Hammamet"
"1736690474-6","https://www.traveltodo.com/","El Mouradi El Menzah","314.12  TND","El Mouradi El Menzah"
"1736690474-7","https://www.traveltodo.com/","THE RUSSELIOR HOTEL & SPA","1457.30  TND","THE RUSSELIOR HOTEL & SPA"
"1736690474-8","https://www.traveltodo.com/","El Mouradi Hammamet","342.34  TND","El Mouradi Hammamet"
"1736690474-9","https://www.traveltodo.com/","Le Royal Hammamet","475.00  TND","Le Royal Hammamet"
"1736690474-10","https://www.traveltodo.com/","Royal Tulip Taj Sultan","575.00  TND","Royal Tulip Taj Sultan"
"1736690474-11","https://www.traveltodo.com/","Oceana Hotel & Spa","1353.60  TND","Oceana Hotel & Spa"
"1736690474-12","https://www.traveltodo.com/","Hôtel Laico Hammamet 5*","437.00  TND","Hôtel Laico Hammamet 5*"
"1736690474-13","https://www.traveltodo.com/","Golden Yasmin Mehari Hammamet","366.08  TND","Golden Yasmin Mehari Hammamet"
"1736690474-14","https://www.traveltodo.com/","El Fell Hammamet","244.80  TND","El Fell Hammamet"
"1736690474-15","https://www.traveltodo.com/","Eden Yasmine Resort & Spa","644.00  TND","Eden Yasmine Resort & Spa"
"1736690474-16","https://www.traveltodo.com/","Hasdrubal Thalassa & Spa Yasmine Hammamet","720.00  TND","Hasdrubal Thalassa & Spa Yasmine Hammamet"
"1736690474-17","https://www.traveltodo.com/","Les Orangers Beach Resort & Bungalows","1308.00  TND","Les Orangers Beach Resort & Bungalows"
"1736690474-18","https://www.traveltodo.com/","Lella Baya & Thalasso","516.00  TND","Lella Baya & Thalasso"
"1736690474-19","https://www.traveltodo.com/","The Sindbad Hammamet","771.60  TND","The Sindbad Hammamet"
"1736690474-20","https://www.traveltodo.com/","Les Orangers Garden Villas & Bungalows","1810.10  TND","Les Orangers Garden Villas & Bungalows"
"1736690474-21","https://www.traveltodo.com/","Zodiac Hôtel & Aqua Park","480.00  TND","Zodiac Hôtel & Aqua Park"
"1736690474-22","https://www.traveltodo.com/","Hôtel Aziza Thalasso Golf","379.50  TND","Hôtel Aziza Thalasso Golf"
"1736690474-23","https://www.traveltodo.com/","Hammamet Garden Resort & Spa","437.00  TND","Hammamet Garden Resort & Spa"
"1736690474-24","https://www.traveltodo.com/","Marina Palace","273.60  TND","Marina Palace"
"1736690474-25","https://www.traveltodo.com/","Le Khalife","130.00  TND","Le Khalife"
"1736690474-26","https://www.traveltodo.com/","La Playa","210.60  TND","La Playa"
"1736690474-27","https://www.traveltodo.com/","Residence Romane","256.80  TND","Residence Romane"
"1736690474-28","https://www.traveltodo.com/","Dar Khayam","611.52  TND","Dar Khayam"
"1736690474-29","https://www.traveltodo.com/","LA RESIDENCE HAMMAMET","152.95  TND","LA RESIDENCE HAMMAMET"
